"","loan_amount","emp_length","home_ownership","income","loan_purpose","debt_to_income","credit_score","recent_inquiry","delinquent","credit_accounts","bad_public_record","credit_utilization","past_bankrupt","outcome"
"3024","HIGH","2 - 5 years","OWN","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","HIGH","NO","default"
"3027","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","repaid"
"3030","MEDIUM","10+ years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","AVERAGE","YES","MEDIUM","YES","default"
"3035","MEDIUM","6 - 9 years","MORTGAGE","HIGH","debt_consolidation","LOW","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3036","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3042","LOW","< 2 years","RENT","LOW","medical","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3043","HIGH","6 - 9 years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3046","HIGH","10+ years","MORTGAGE","MEDIUM","small_business","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3049","HIGH","10+ years","MORTGAGE","HIGH","small_business","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3055","HIGH","unemployed","RENT","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3057","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3058","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","car","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3059","HIGH","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3061","HIGH","unemployed","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"3063","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","repaid"
"3064","MEDIUM","< 2 years","RENT","MEDIUM","small_business","LOW","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","default"
"3067","HIGH","10+ years","MORTGAGE","HIGH","credit_card","AVERAGE","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
"3072","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"3080","HIGH","2 - 5 years","MORTGAGE","LOW","small_business","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","default"
"3081","LOW","unemployed","OWN","LOW","credit_card","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3089","HIGH","10+ years","RENT","HIGH","small_business","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"3095","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"3098","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","LOW","NO","default"
"3099","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","default"
"3101","LOW","unemployed","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"3102","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","HIGH","LOW","NO","NEVER","MANY","NO","HIGH","NO","default"
"3105","MEDIUM","< 2 years","RENT","MEDIUM","wedding","HIGH","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3108","HIGH","10+ years","MORTGAGE","MEDIUM","small_business","LOW","HIGH","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"3118","HIGH","2 - 5 years","OWN","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3121","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","LOW","LOW","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","repaid"
"3122","LOW","< 2 years","RENT","LOW","other","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"3125","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","LOW","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3126","HIGH","6 - 9 years","RENT","MEDIUM","car","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","LOW","NO","default"
"3129","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"3135","MEDIUM","unemployed","OWN","LOW","home_improvement","HIGH","AVERAGE","YES","NEVER","MANY","YES","MEDIUM","YES","repaid"
"3137","HIGH","10+ years","MORTGAGE","HIGH","house","LOW","HIGH","NO","NEVER","MANY","NO","LOW","NO","repaid"
"3139","LOW","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3143","HIGH","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","IN PAST 2 YEARS","AVERAGE","NO","HIGH","NO","repaid"
"3147","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","LOW","YES","NEVER","MANY","NO","HIGH","NO","default"
"3148","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","YES","MEDIUM","YES","default"
"3149","LOW","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3159","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","repaid"
"3164","MEDIUM","2 - 5 years","MORTGAGE","HIGH","home_improvement","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","MANY","YES","MEDIUM","YES","default"
"3172","MEDIUM","2 - 5 years","RENT","HIGH","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3173","HIGH","< 2 years","MORTGAGE","HIGH","house","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","HIGH","NO","default"
"3180","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3182","LOW","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"3184","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3185","HIGH","10+ years","RENT","HIGH","wedding","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"3186","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","credit_card","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3190","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3193","HIGH","6 - 9 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3194","LOW","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","YES","HIGH","YES","default"
"3196","LOW","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3197","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3198","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"3200","HIGH","6 - 9 years","MORTGAGE","HIGH","house","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3203","LOW","10+ years","MORTGAGE","HIGH","home_improvement","AVERAGE","LOW","NO","NEVER","MANY","NO","HIGH","NO","default"
"3206","LOW","2 - 5 years","MORTGAGE","HIGH","vacation","LOW","LOW","YES","IN PAST 2 YEARS","AVERAGE","NO","LOW","NO","repaid"
"3212","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3214","MEDIUM","2 - 5 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"3216","LOW","2 - 5 years","MORTGAGE","MEDIUM","major_purchase","LOW","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","LOW","NO","default"
"3217","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3220","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3224","HIGH","6 - 9 years","OWN","MEDIUM","credit_card","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3225","MEDIUM","6 - 9 years","MORTGAGE","HIGH","home_improvement","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3226","HIGH","6 - 9 years","MORTGAGE","HIGH","debt_consolidation","LOW","HIGH","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3227","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3231","HIGH","< 2 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3234","MEDIUM","< 2 years","RENT","HIGH","debt_consolidation","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3241","HIGH","10+ years","MORTGAGE","HIGH","credit_card","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3244","HIGH","6 - 9 years","MORTGAGE","HIGH","major_purchase","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3247","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3250","MEDIUM","2 - 5 years","RENT","LOW","other","LOW","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"3261","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3262","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"3263","LOW","unemployed","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"3279","LOW","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3280","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","LOW","LOW","NO","IN PAST 2 YEARS","FEW","NO","HIGH","NO","repaid"
"3282","LOW","10+ years","MORTGAGE","MEDIUM","vacation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","repaid"
"3285","MEDIUM","10+ years","MORTGAGE","HIGH","home_improvement","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"3286","LOW","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"3292","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3294","HIGH","unemployed","MORTGAGE","HIGH","other","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","repaid"
"3296","MEDIUM","6 - 9 years","RENT","LOW","other","HIGH","HIGH","NO","NEVER","MANY","NO","LOW","NO","default"
"3298","HIGH","10+ years","MORTGAGE","HIGH","credit_card","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3302","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"3307","LOW","unemployed","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","HIGH","NO","default"
"3319","HIGH","2 - 5 years","RENT","HIGH","home_improvement","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3322","MEDIUM","2 - 5 years","MORTGAGE","HIGH","car","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3325","LOW","6 - 9 years","OWN","LOW","home_improvement","HIGH","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","repaid"
"3327","HIGH","2 - 5 years","MORTGAGE","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3329","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","HIGH","LOW","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3336","MEDIUM","2 - 5 years","MORTGAGE","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3339","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","other","AVERAGE","LOW","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"3341","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3342","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"3345","MEDIUM","2 - 5 years","MORTGAGE","HIGH","other","AVERAGE","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3346","MEDIUM","< 2 years","MORTGAGE","MEDIUM","car","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"3347","MEDIUM","2 - 5 years","RENT","MEDIUM","wedding","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","LOW","NO","default"
"3350","MEDIUM","6 - 9 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3358","LOW","6 - 9 years","RENT","LOW","other","AVERAGE","LOW","YES","NEVER","FEW","NO","HIGH","NO","default"
"3360","HIGH","10+ years","MORTGAGE","LOW","home_improvement","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","repaid"
"3364","MEDIUM","6 - 9 years","RENT","MEDIUM","other","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","repaid"
"3366","HIGH","10+ years","MORTGAGE","HIGH","credit_card","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3376","HIGH","6 - 9 years","MORTGAGE","MEDIUM","credit_card","HIGH","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3377","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3382","MEDIUM","< 2 years","MORTGAGE","LOW","small_business","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"3388","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"3392","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"3394","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"3396","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"3399","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","repaid"
"3402","MEDIUM","2 - 5 years","MORTGAGE","LOW","other","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","FEW","YES","LOW","YES","default"
"3404","LOW","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3407","LOW","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"3408","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","default"
"3413","HIGH","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"3418","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","LOW","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"3419","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"3427","HIGH","2 - 5 years","MORTGAGE","MEDIUM","credit_card","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3432","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"3435","HIGH","2 - 5 years","MORTGAGE","HIGH","wedding","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3439","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"3445","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","LOW","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"3447","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"3448","HIGH","2 - 5 years","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"3452","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","repaid"
"3454","MEDIUM","< 2 years","RENT","LOW","credit_card","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"3456","HIGH","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","LOW","YES","IN PAST 2 YEARS","AVERAGE","NO","HIGH","NO","default"
"3457","MEDIUM","< 2 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","LOW","NO","repaid"
"3459","MEDIUM","6 - 9 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","YES","MEDIUM","YES","repaid"
"3460","MEDIUM","unemployed","OWN","LOW","home_improvement","HIGH","HIGH","NO","NEVER","FEW","NO","LOW","NO","repaid"
"3466","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"3467","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","LOW","LOW","YES","NEVER","AVERAGE","YES","HIGH","YES","default"
"3473","HIGH","< 2 years","RENT","MEDIUM","medical","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"3478","LOW","6 - 9 years","OWN","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","LOW","NO","repaid"
"3481","HIGH","2 - 5 years","RENT","HIGH","house","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3483","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","repaid"
"3484","MEDIUM","6 - 9 years","RENT","LOW","medical","LOW","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3487","HIGH","10+ years","MORTGAGE","HIGH","credit_card","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"3489","LOW","unemployed","RENT","LOW","other","HIGH","AVERAGE","YES","NEVER","AVERAGE","YES","HIGH","YES","default"
"3494","HIGH","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","default"
"3495","HIGH","2 - 5 years","RENT","HIGH","small_business","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"3499","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","HIGH","NO","NEVER","MANY","NO","LOW","NO","repaid"
"3508","HIGH","2 - 5 years","RENT","LOW","small_business","HIGH","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"3515","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","repaid"
"3519","HIGH","10+ years","MORTGAGE","HIGH","small_business","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","FEW","NO","HIGH","NO","default"
"3525","LOW","2 - 5 years","OWN","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","LOW","NO","repaid"
"3526","MEDIUM","10+ years","RENT","HIGH","small_business","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","default"
"3531","LOW","2 - 5 years","MORTGAGE","LOW","house","AVERAGE","HIGH","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3532","LOW","2 - 5 years","RENT","LOW","debt_consolidation","HIGH","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3533","MEDIUM","10+ years","MORTGAGE","HIGH","vacation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","repaid"
"3541","LOW","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"3553","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","HIGH","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"3558","MEDIUM","< 2 years","RENT","HIGH","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","default"
"3577","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"3579","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","HIGH","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"3580","HIGH","10+ years","MORTGAGE","MEDIUM","small_business","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","repaid"
"3583","HIGH","< 2 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"3585","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"3599","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"3601","MEDIUM","2 - 5 years","RENT","LOW","credit_card","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"3605","HIGH","< 2 years","MORTGAGE","HIGH","small_business","LOW","LOW","YES","IN PAST 2 YEARS","FEW","NO","LOW","NO","default"
"3609","HIGH","10+ years","MORTGAGE","HIGH","small_business","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"3615","MEDIUM","unemployed","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"3621","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","repaid"
"3624","MEDIUM","2 - 5 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"3625","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"3626","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3639","HIGH","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","FEW","YES","HIGH","YES","default"
"3643","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"3644","MEDIUM","< 2 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"3645","MEDIUM","unemployed","RENT","LOW","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","LOW","NO","default"
"3646","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
