,still_customer,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
221,no,44,F,2,Doctorate,Divorced,Less than $40K,Blue,34,3,1,2,2406,1491,915,0.606,4625,91,0.685,0.62
222,no,44,M,3,Unknown,Married,$40K - $60K,Blue,36,4,2,3,9465,0,9465,0.657,3675,59,1.107,0
223,no,38,F,2,Unknown,Single,$40K - $60K,Blue,29,5,3,2,3276,2331,945,0.567,4345,68,0.511,0.712
224,no,42,F,2,Post-Graduate,Unknown,Less than $40K,Blue,31,3,2,2,3809,1165,2644,0.634,2306,46,0.643,0.306
225,no,62,F,0,Unknown,Single,$40K - $60K,Blue,56,6,1,2,4467,0,4467,0.888,4007,74,0.542,0
226,yes,41,F,3,Uneducated,Unknown,Unknown,Blue,36,2,3,1,13733,0,13733,0.325,1591,30,0.875,0
227,no,40,F,5,Graduate,Single,Less than $40K,Blue,29,3,2,4,4205,2517,1688,0.652,4256,69,0.725,0.599
228,no,45,M,3,Unknown,Married,$80K - $120K,Blue,38,3,1,2,23973,0,23973,0.779,3560,71,0.511,0
229,yes,44,F,1,Graduate,Single,Less than $40K,Blue,25,3,2,4,3101,0,3101,0.66,2512,37,0.37,0
230,no,42,F,3,Graduate,Married,Less than $40K,Blue,37,4,2,1,2730,1303,1427,1.308,4750,76,0.9,0.477
231,no,41,M,2,Uneducated,Single,$40K - $60K,Blue,27,2,3,1,13409,1255,12154,0.742,15573,99,0.768,0.094
232,no,43,M,4,Uneducated,Married,$60K - $80K,Silver,30,1,3,1,29856,1576,28280,0.8,14887,119,0.545,0.053
233,no,38,M,1,Unknown,Single,$60K - $80K,Blue,29,5,2,1,14596,2192,12404,0.898,1300,25,1.083,0.15
234,no,49,F,3,Graduate,Single,Unknown,Blue,42,4,2,3,4349,1400,2949,0.641,4694,84,0.75,0.322
235,no,44,M,3,High School,Single,$80K - $120K,Blue,35,3,3,4,18358,1044,17314,0.524,3920,85,0.491,0.057
236,no,62,M,0,Uneducated,Single,$60K - $80K,Blue,50,5,2,2,14314,656,13658,0.822,4355,70,0.667,0.046
237,no,38,M,1,Uneducated,Unknown,$40K - $60K,Blue,18,3,3,3,3523,1379,2144,0.71,15108,118,0.71,0.391
238,no,48,F,3,Post-Graduate,Married,$40K - $60K,Blue,37,4,1,2,6725,493,6232,0.72,13891,106,0.606,0.073
239,no,46,F,4,Graduate,Married,Unknown,Blue,32,2,1,1,5798,680,5118,0.708,5027,82,0.64,0.117
240,yes,35,M,4,Graduate,Married,$80K - $120K,Blue,24,6,3,4,12634,0,12634,0.323,717,18,0.286,0
241,no,55,F,2,Post-Graduate,Married,Less than $40K,Blue,45,3,3,3,2163,0,2163,0.816,1349,47,0.88,0
242,yes,39,M,4,Post-Graduate,Married,$120K +,Blue,29,6,3,3,8700,1742,6958,0.454,2306,50,0.613,0.2
243,no,47,M,3,Graduate,Single,$80K - $120K,Blue,37,3,3,2,5116,1468,3648,0.91,2361,49,0.633,0.287
244,no,50,M,2,Graduate,Married,$60K - $80K,Blue,39,4,1,4,6508,2276,4232,1.008,4254,77,0.711,0.35
245,no,61,M,0,High School,Divorced,$60K - $80K,Blue,51,6,3,4,5852,1935,3917,0.829,3689,55,0.618,0.331
246,no,49,M,4,High School,Married,$60K - $80K,Blue,36,6,3,2,12938,661,12277,0.725,1282,32,0.778,0.051
247,yes,41,M,5,Uneducated,Single,$80K - $120K,Blue,32,4,3,3,12094,0,12094,0.995,8607,90,0.957,0
248,no,52,F,3,Post-Graduate,Married,$40K - $60K,Blue,33,3,2,0,3900,0,3900,1.092,4337,81,0.8,0
249,no,45,F,5,Post-Graduate,Married,Unknown,Blue,29,5,3,1,2555,681,1874,0.576,4888,78,0.814,0.267
250,no,49,F,5,High School,Divorced,Less than $40K,Blue,42,5,2,3,1972,1489,483,0.69,4715,66,0.65,0.755
251,no,50,F,3,Uneducated,Married,Less than $40K,Blue,34,2,2,2,4060,2336,1724,0.943,5173,87,0.706,0.575
252,yes,41,F,4,Graduate,Divorced,$40K - $60K,Blue,33,1,3,1,10360,2517,7843,0.632,2414,28,0.273,0.243
253,no,46,M,2,Graduate,Unknown,$120K +,Blue,34,1,3,2,24431,892,23539,0.417,3457,66,0.571,0.037
254,no,34,F,2,Unknown,Single,Less than $40K,Blue,36,3,3,2,2791,2160,631,0.825,2214,56,0.6,0.774
255,no,42,F,3,Graduate,Married,Less than $40K,Blue,23,4,2,3,2797,1943,854,0.899,4917,66,0.784,0.695
256,no,45,F,2,Unknown,Single,Less than $40K,Blue,27,6,3,3,1438.3,0,1438.3,0.683,2598,59,0.595,0
257,no,46,M,4,College,Single,$60K - $80K,Blue,34,5,3,4,2369,1405,964,0.624,3034,51,0.889,0.593
258,no,44,M,5,Graduate,Single,$60K - $80K,Blue,34,3,3,5,13477,2057,11420,0.684,3866,67,0.634,0.153
259,no,36,F,1,Post-Graduate,Married,Less than $40K,Blue,23,6,3,3,3107,2354,753,1.248,2720,48,1.182,0.758
260,no,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667
261,no,51,F,4,Uneducated,Divorced,Less than $40K,Blue,40,5,4,3,1562,1057,505,0.807,5019,78,0.696,0.677
262,no,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250,1992,1258,0.715,1355,36,0.565,0.613
263,no,46,M,3,College,Married,$120K +,Blue,40,6,3,3,1438.3,0,1438.3,0.681,4833,69,0.769,0
264,no,48,F,3,High School,Single,Less than $40K,Blue,40,1,3,3,3520,2149,1371,0.539,3630,78,0.696,0.611
265,no,60,F,2,Uneducated,Unknown,$40K - $60K,Blue,52,4,3,2,2676,1740,936,0.735,3863,69,0.725,0.65
266,no,38,F,1,High School,Married,$40K - $60K,Blue,19,1,1,2,5559,1600,3959,0.716,5344,82,0.864,0.288
267,no,52,F,1,Graduate,Married,Less than $40K,Blue,38,3,1,3,3773,1291,2482,0.878,4697,75,0.667,0.342
268,no,51,F,2,Graduate,Single,$40K - $60K,Blue,45,5,1,3,1438.3,869,569.3,0.791,4124,59,0.967,0.604
269,no,56,F,0,Unknown,Single,Less than $40K,Blue,36,5,4,2,3033,0,3033,0.89,4921,90,0.698,0
270,no,52,M,2,High School,Single,$120K +,Blue,46,4,2,4,34516,0,34516,0.775,4037,87,0.706,0
271,no,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0
272,no,62,M,0,Graduate,Married,$60K - $80K,Blue,51,3,2,0,5450,967,4483,0.701,1526,45,0.8,0.177
273,no,54,F,2,Graduate,Married,$40K - $60K,Blue,41,3,1,3,7362,1176,6186,0.735,17390,130,0.688,0.16
274,no,42,F,2,Uneducated,Married,Unknown,Blue,32,5,5,3,4708,0,4708,0.718,4597,89,0.679,0
275,no,47,F,1,Uneducated,Single,$40K - $60K,Blue,34,5,1,3,2099,1164,935,0.717,4471,80,0.667,0.555
276,no,57,M,4,High School,Married,$80K - $120K,Blue,38,4,1,3,15428,1553,13875,0.747,1916,40,0.538,0.101
277,no,46,M,3,Unknown,Married,$80K - $120K,Blue,33,4,1,3,34516,1099,33417,0.816,15490,110,0.618,0.032
278,no,48,M,3,Graduate,Married,$40K - $60K,Blue,33,3,1,2,6223,2126,4097,0.681,4518,79,0.795,0.342
279,no,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141
280,no,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03
281,yes,45,M,4,Doctorate,Married,$60K - $80K,Blue,37,1,2,2,13093,2517,10576,0.426,2032,39,0.444,0.192
282,no,40,F,5,Graduate,Married,Unknown,Silver,24,2,1,2,33441,686,32755,0.761,8452,83,0.509,0.021
283,no,54,M,2,College,Married,$120K +,Blue,46,6,1,2,28465,0,28465,0.696,1693,37,1.056,0
284,no,51,M,4,Uneducated,Single,$120K +,Blue,45,6,2,3,12101,2517,9584,0.733,2086,44,0.76,0.208
285,no,47,F,4,High School,Married,Less than $40K,Blue,36,1,3,1,3216,1480,1736,0.733,14178,123,0.809,0.46
286,no,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1677,1598,79,0.994,2389,43,0.536,0.953
287,no,59,F,0,Post-Graduate,Single,Less than $40K,Blue,48,4,2,2,3030,1251,1779,0.694,4724,71,0.775,0.413
288,no,47,F,5,High School,Single,Less than $40K,Blue,33,5,2,2,2169,1330,839,0.905,3833,64,1.065,0.613
289,no,52,F,2,High School,Single,Less than $40K,Blue,40,3,1,3,1960,1428,532,0.57,3782,64,0.641,0.729
290,yes,44,F,3,Unknown,Divorced,Less than $40K,Blue,32,3,3,2,1693,1457,236,0.919,2829,42,0.615,0.861
291,no,46,F,2,Graduate,Married,$40K - $60K,Blue,22,6,1,3,2305,1627,678,0.747,1230,36,0.565,0.706
292,no,26,F,1,Unknown,Single,Unknown,Blue,15,3,4,3,5464,0,5464,0.7,2473,46,0.484,0
293,no,39,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827,0,1827,0.563,4207,86,0.792,0
294,no,61,M,0,High School,Single,$60K - $80K,Blue,51,4,2,2,5504,1412,4092,0.722,1290,38,0.462,0.257
295,no,54,M,2,Graduate,Divorced,$80K - $120K,Blue,48,2,3,2,29974,2114,27860,0.925,15190,115,0.855,0.071
296,no,51,M,1,Graduate,Married,$40K - $60K,Silver,36,6,2,2,17905,980,16925,0.731,4399,64,0.778,0.055
297,no,53,F,1,Graduate,Single,Less than $40K,Blue,43,6,3,2,2172,644,1528,0.673,4657,82,0.907,0.297
298,no,48,M,4,Graduate,Married,$80K - $120K,Blue,40,1,1,3,28307,1506,26801,0.818,9042,122,0.605,0.053
299,yes,50,F,1,Post-Graduate,Married,$40K - $60K,Blue,41,6,3,3,1694,479,1215,0.838,2349,42,0.312,0.283
300,no,33,F,1,High School,Married,Unknown,Blue,36,3,2,2,2279,1432,847,0.855,4169,74,0.947,0.628
301,no,45,F,4,Graduate,Married,Unknown,Blue,36,2,2,2,4146,2027,2119,0.74,4323,64,0.684,0.489
302,no,44,F,5,Uneducated,Single,Less than $40K,Blue,36,1,3,1,7742,1163,6579,0.729,9081,100,0.852,0.15
303,no,35,F,1,Graduate,Single,$40K - $60K,Blue,16,3,2,2,2546,1348,1198,0.877,4145,75,0.596,0.529
304,no,43,M,2,Uneducated,Divorced,$120K +,Silver,24,4,2,0,34516,1938,32578,0.426,1215,45,0.406,0.056
305,no,50,F,3,Graduate,Married,$40K - $60K,Blue,39,4,3,3,1844,1388,456,0.901,5056,81,0.8,0.753
306,no,62,F,0,Graduate,Single,Unknown,Silver,49,5,1,2,30310,0,30310,0.777,3703,91,0.492,0
307,no,49,F,3,High School,Married,Less than $40K,Blue,36,3,1,3,4476,1492,2984,0.933,4603,87,0.706,0.333
308,no,31,M,1,Post-Graduate,Single,$40K - $60K,Blue,20,5,3,3,13734,0,13734,0.855,2566,74,0.762,0
309,no,56,F,2,Graduate,Single,Unknown,Blue,48,5,3,2,3934,2517,1417,0.682,4837,87,0.673,0.64
310,no,38,M,2,Unknown,Divorced,$80K - $120K,Blue,33,6,3,2,11777,1781,9996,0.565,2763,62,0.879,0.151
311,no,41,F,3,High School,Married,Less than $40K,Blue,15,1,1,2,4662,0,4662,0.661,4931,81,0.841,0
312,no,37,F,1,Graduate,Single,Less than $40K,Blue,28,4,3,3,1438.3,599,839.3,0.897,5136,76,0.9,0.416
313,no,54,F,0,Graduate,Married,Less than $40K,Blue,36,1,2,3,1740,0,1740,0.811,4751,93,0.86,0
314,yes,43,F,3,Unknown,Single,$40K - $60K,Silver,36,2,3,4,19713,531,19182,0.792,8301,70,0.591,0.027
315,yes,37,F,2,Graduate,Divorced,Less than $40K,Blue,30,3,3,4,3328,2517,811,0.553,2196,47,0.621,0.756
316,no,52,F,2,College,Married,Unknown,Blue,45,5,1,2,2737,1719,1018,0.657,4725,63,0.615,0.628
317,yes,34,M,2,High School,Married,$80K - $120K,Blue,25,6,2,0,1439,0,1439,0.89,2932,44,0.913,0
318,no,45,M,3,Graduate,Divorced,$60K - $80K,Blue,35,6,3,2,5065,1362,3703,0.68,3555,75,0.471,0.269
319,no,41,M,4,College,Married,$80K - $120K,Blue,22,1,2,3,5037,1670,3367,0.787,4379,67,0.811,0.332
320,no,38,M,3,College,Single,$60K - $80K,Silver,32,4,2,2,30082,1671,28411,0.707,15240,126,0.8,0.056
321,no,54,M,1,Post-Graduate,Single,$80K - $120K,Blue,40,6,3,3,10260,942,9318,1.042,1566,50,0.562,0.092
322,no,45,M,3,Graduate,Married,$60K - $80K,Blue,25,3,3,2,9791,1311,8480,0.704,1649,59,0.513,0.134
323,no,45,M,2,Graduate,Married,$40K - $60K,Blue,36,2,1,3,3735,2113,1622,0.684,7059,82,0.577,0.566
324,no,44,M,2,Graduate,Married,$80K - $120K,Blue,36,3,3,2,12230,1196,11034,0.62,3659,76,0.52,0.098
325,no,43,M,2,Graduate,Single,$80K - $120K,Blue,36,4,1,4,13430,2356,11074,0.718,3717,67,0.675,0.175
326,no,38,M,5,Unknown,Married,$80K - $120K,Blue,26,5,1,2,16033,766,15267,0.682,15260,115,0.855,0.048
327,no,42,F,4,Graduate,Divorced,Unknown,Blue,36,3,3,1,2782,1782,1000,0.853,4669,93,0.755,0.641
328,no,51,M,2,Uneducated,Divorced,$80K - $120K,Blue,40,1,2,3,23453,0,23453,0.727,7555,96,0.574,0
329,no,52,M,2,College,Single,$60K - $80K,Blue,37,4,3,3,2749,1380,1369,0.937,3882,90,0.765,0.502
330,yes,57,M,4,Unknown,Divorced,$120K +,Blue,36,2,2,3,13694,2219,11475,1.078,9040,63,0.8,0.162
331,no,31,M,0,Graduate,Divorced,Less than $40K,Blue,36,4,3,2,3312,2491,821,0.62,2670,50,0.667,0.752
332,no,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412
333,no,58,M,0,Doctorate,Single,Less than $40K,Blue,46,6,4,3,1438.3,0,1438.3,0.808,4082,82,0.822,0
334,no,40,M,3,Graduate,Married,$80K - $120K,Blue,21,3,2,0,1804,1040,764,1.002,5308,78,0.773,0.576
335,no,54,M,4,Graduate,Married,$60K - $80K,Blue,36,4,3,3,6905,2303,4602,0.712,1370,25,0.786,0.334
336,no,49,M,4,Doctorate,Single,$60K - $80K,Silver,37,5,2,2,30976,2051,28925,0.684,3193,69,0.725,0.066
337,no,48,F,3,Graduate,Married,$40K - $60K,Blue,36,4,2,2,5573,1238,4335,0.624,4348,90,0.837,0.222
338,yes,48,F,1,Uneducated,Single,$40K - $60K,Gold,28,3,2,1,23981,1454,22527,0.925,9140,64,0.684,0.061
339,no,41,F,2,High School,Married,$40K - $60K,Blue,36,5,2,4,2602,1490,1112,0.66,3151,78,0.66,0.573
340,no,47,F,4,Graduate,Single,$40K - $60K,Blue,37,4,1,1,1438.3,703,735.3,0.865,4341,80,0.951,0.489
341,no,48,M,3,Uneducated,Single,$40K - $60K,Blue,36,6,3,2,3786,0,3786,0.715,3403,70,0.489,0
342,no,34,M,1,Graduate,Married,$120K +,Blue,29,4,3,2,14938,1412,13526,0.677,1930,36,0.636,0.095
343,no,53,F,3,Uneducated,Single,Less than $40K,Blue,48,5,3,1,4908,1429,3479,0.745,3535,65,0.667,0.291
344,no,31,M,1,Unknown,Single,$40K - $60K,Blue,26,4,1,2,2037,0,2037,0.88,2563,64,0.641,0
345,no,56,F,3,High School,Married,Less than $40K,Blue,47,6,3,4,2865,2022,843,0.547,3441,66,0.65,0.706
346,no,45,M,0,Uneducated,Single,$80K - $120K,Blue,36,1,4,3,20356,2031,18325,0.752,15180,121,0.806,0.1
347,no,45,F,4,Uneducated,Married,Less than $40K,Blue,32,1,1,1,3335,2238,1097,0.644,5321,78,0.95,0.671
348,no,51,F,3,High School,Married,Less than $40K,Blue,35,6,1,3,3025,1912,1113,0.674,4626,78,0.773,0.632
349,yes,46,M,4,Unknown,Married,$80K - $120K,Blue,39,3,3,2,34516,289,34227,0.95,8964,76,1.054,0.008
350,no,60,F,0,College,Single,Less than $40K,Blue,48,5,1,3,1438.3,0,1438.3,0.653,4104,83,0.729,0
351,no,59,M,2,Graduate,Single,$40K - $60K,Blue,50,2,1,2,11808,0,11808,0.813,13751,113,0.823,0
352,no,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770,1706,64,0.626,4940,94,0.774,0.964
353,no,50,F,3,Unknown,Single,Less than $40K,Blue,39,4,4,3,1852,0,1852,0.801,4339,82,0.783,0
354,no,58,M,1,High School,Married,$60K - $80K,Blue,47,3,1,4,2212,1392,820,0.573,1387,34,0.7,0.629
355,no,40,M,4,Graduate,Single,$60K - $80K,Blue,30,4,1,1,13919,1266,12653,0.438,3699,67,0.523,0.091
356,no,44,M,1,College,Single,$40K - $60K,Blue,40,6,1,2,4274,1680,2594,0.78,4820,60,0.765,0.393
357,no,49,F,2,Uneducated,Single,Unknown,Blue,40,2,3,1,2464,1601,863,0.649,4739,86,0.792,0.65
358,no,40,F,2,Graduate,Married,Unknown,Blue,29,5,2,2,18862,2105,16757,0.832,4449,86,0.686,0.112
359,no,39,M,1,Post-Graduate,Single,$40K - $60K,Blue,35,5,1,1,2623,2121,502,0.722,4078,70,0.795,0.809
360,no,36,M,2,High School,Married,$80K - $120K,Blue,26,4,2,4,15982,1691,14291,0.808,1687,40,0.739,0.106
361,no,49,F,3,Graduate,Married,Less than $40K,Blue,43,2,1,1,7037,0,7037,0.752,7678,93,0.691,0
362,yes,31,M,1,Post-Graduate,Single,$40K - $60K,Blue,24,4,2,4,4169,534,3635,0.836,8565,70,0.795,0.128
363,no,49,F,4,Uneducated,Single,Less than $40K,Blue,36,1,3,3,1544,999,545,0.786,4215,53,1.12,0.647
364,no,56,M,3,High School,Married,$60K - $80K,Blue,36,5,1,3,9226,1233,7993,1.521,1626,29,1.636,0.134
365,no,57,F,3,Graduate,Unknown,Less than $40K,Blue,36,2,2,1,3082,2507,575,0.687,7787,89,0.508,0.813
366,no,59,M,1,Unknown,Married,$60K - $80K,Blue,48,5,3,3,1438.3,642,796.3,0.926,5177,79,0.646,0.446
367,no,49,F,1,College,Married,Unknown,Blue,36,1,3,2,5039,2489,2550,0.875,4770,74,0.947,0.494
368,yes,50,F,4,Graduate,Single,Unknown,Blue,41,5,3,3,2509,0,2509,0.702,2281,41,0.367,0
369,no,54,F,2,Uneducated,Single,Less than $40K,Blue,41,5,2,4,1438.3,814,624.3,0.675,4217,72,0.5,0.566
370,no,47,F,3,Graduate,Single,Less than $40K,Blue,36,5,1,3,2049,1460,589,0.599,3514,79,0.646,0.713
371,no,49,M,4,Doctorate,Married,$40K - $60K,Blue,39,5,1,2,1438.3,0,1438.3,0.562,3691,77,0.51,0
372,no,50,F,2,High School,Divorced,Unknown,Blue,39,5,2,4,9716,874,8842,0.775,5007,91,0.655,0.09
373,no,42,M,1,Graduate,Married,$40K - $60K,Silver,34,3,3,2,15315,1613,13702,0.859,14728,100,0.754,0.105
374,no,56,F,2,Graduate,Married,Less than $40K,Blue,48,6,3,2,4366,1590,2776,0.475,1596,37,0.423,0.364
375,yes,51,M,5,Graduate,Divorced,$120K +,Blue,45,6,3,6,34516,0,34516,0.757,8173,91,1.022,0
376,no,62,F,0,Graduate,Single,Less than $40K,Blue,53,5,2,2,2616,801,1815,0.719,4655,68,0.511,0.306
377,no,48,F,3,Unknown,Divorced,Less than $40K,Blue,36,5,2,1,2680,1871,809,0.955,4592,78,0.902,0.698
378,yes,45,F,2,College,Divorced,$40K - $60K,Blue,39,4,3,4,3076,0,3076,0.734,2580,50,0.429,0
379,no,31,M,0,Graduate,Married,$80K - $120K,Blue,36,2,3,3,32791,1607,31184,0.752,13177,106,0.738,0.049
380,yes,48,F,4,High School,Married,Less than $40K,Blue,37,1,2,3,3607,0,3607,0.504,2013,35,0.458,0
381,yes,49,F,1,Uneducated,Married,$40K - $60K,Blue,41,4,3,3,1438.3,522,916.3,0.383,2030,37,0.37,0.363
382,no,46,F,2,College,Divorced,Less than $40K,Blue,31,6,1,2,1852,1428,424,0.795,4486,61,0.848,0.771
383,no,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232
384,yes,31,F,1,Graduate,Divorced,Unknown,Blue,22,2,2,3,1623,0,1623,0.501,2126,45,0.364,0
385,no,50,F,2,Post-Graduate,Married,Less than $40K,Blue,36,1,2,2,3350,1335,2015,0.781,4906,89,0.561,0.399
386,yes,46,M,4,Graduate,Single,$80K - $120K,Blue,36,3,1,4,1818,0,1818,0.672,2308,44,0.467,0
387,no,45,M,4,High School,Married,$80K - $120K,Blue,40,6,2,3,6366,1344,5022,0.492,3258,58,0.758,0.211
388,no,60,F,1,Unknown,Single,Less than $40K,Blue,46,2,3,2,4628,2327,2301,0.611,4226,92,0.736,0.503
389,no,36,F,2,College,Unknown,Less than $40K,Blue,23,4,3,3,1924,971,953,0.806,4951,96,0.6,0.505
390,no,42,F,2,High School,Married,Less than $40K,Blue,31,3,5,2,3964,1218,2746,0.593,4580,75,1.419,0.307
391,no,53,F,3,Graduate,Single,Less than $40K,Blue,36,2,3,1,1438.3,630,808.3,0.667,4704,79,0.756,0.438
392,no,52,M,1,College,Married,$80K - $120K,Blue,48,4,3,3,2066,1601,465,0.742,1578,41,0.414,0.775
393,no,36,M,2,Post-Graduate,Single,$60K - $80K,Blue,30,4,2,4,1606,798,808,0.59,2229,45,1.045,0.497
394,yes,57,M,3,Graduate,Married,$60K - $80K,Blue,49,5,0,3,8701,215,8486,0.527,1999,41,0.414,0.025
395,no,39,F,0,High School,Single,Unknown,Blue,27,6,3,3,17531,0,17531,0.8,4563,61,0.743,0
396,no,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047
397,no,47,M,2,Graduate,Divorced,$60K - $80K,Blue,29,5,2,3,4786,1553,3233,0.61,5039,76,0.81,0.324
398,yes,57,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543,264,30279,0.882,7784,63,0.703,0.009
399,no,45,M,3,Uneducated,Unknown,$60K - $80K,Blue,39,3,2,3,5996,865,5131,0.511,4542,77,0.481,0.144
400,no,30,F,1,Uneducated,Married,Unknown,Blue,13,5,2,2,4016,917,3099,1.246,2572,35,0.591,0.228
401,no,54,M,3,High School,Married,$120K +,Blue,42,6,3,2,20311,1655,18656,0.431,1266,34,0.308,0.081
402,no,33,F,3,High School,Divorced,Less than $40K,Blue,26,5,1,3,3616,0,3616,0.912,3133,72,1,0
403,no,44,M,4,Doctorate,Married,$80K - $120K,Blue,27,1,2,1,24134,1290,22844,0.814,13311,110,0.642,0.053
404,no,36,M,2,Post-Graduate,Married,$60K - $80K,Blue,29,5,3,3,7712,2517,5195,0.676,1845,40,0.739,0.326
405,yes,46,F,3,Doctorate,Single,Less than $40K,Gold,36,1,3,5,15164,532,14632,0.858,8356,68,0.478,0.035
406,no,58,M,2,Uneducated,Unknown,$120K +,Blue,49,6,2,3,9788,1794,7994,0.778,1805,37,0.762,0.183
407,no,49,M,2,Graduate,Single,$60K - $80K,Gold,45,2,3,1,34516,913,33603,0.698,7711,80,0.86,0.026
408,no,45,M,3,Unknown,Married,$80K - $120K,Blue,38,6,3,1,12918,1345,11573,1.061,1562,33,1.2,0.104
409,no,47,F,4,Graduate,Married,Less than $40K,Blue,37,3,1,3,2447,1973,474,0.476,4784,75,0.562,0.806
410,no,46,F,4,Post-Graduate,Married,Less than $40K,Blue,37,5,3,2,3773,1972,1801,0.783,1528,25,1.083,0.523
411,no,50,F,4,Unknown,Married,Less than $40K,Blue,45,4,1,4,1488,755,733,0.783,4451,65,0.711,0.507
412,no,47,F,2,Unknown,Married,Less than $40K,Blue,35,3,3,2,2793,1517,1276,0.712,3485,72,0.895,0.543
413,no,64,F,0,Graduate,Single,$40K - $60K,Blue,56,6,2,1,1564,0,1564,0.516,4018,69,0.605,0
414,no,37,M,1,Unknown,Married,$60K - $80K,Blue,19,6,1,2,18951,1243,17708,1.148,2874,58,0.657,0.066
415,no,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
416,yes,47,M,2,Graduate,Married,$80K - $120K,Blue,36,3,3,2,12933,2239,10694,0.445,6564,56,0.514,0.173
417,no,40,F,3,Graduate,Single,Less than $40K,Blue,29,5,1,4,2694,1833,861,1.044,3366,56,1.074,0.68
418,no,38,M,2,Unknown,Divorced,$60K - $80K,Silver,26,4,2,0,26437,681,25756,1.021,2167,57,0.727,0.026
419,no,38,M,4,Unknown,Single,$120K +,Blue,31,3,2,3,34516,0,34516,0.604,15611,127,0.693,0
420,no,65,F,0,Uneducated,Single,Less than $40K,Blue,56,6,1,2,8705,1453,7252,1.11,2688,88,0.956,0.167
421,no,58,M,2,Graduate,Married,Less than $40K,Blue,48,4,1,0,2774,0,2774,0.721,1258,33,0.435,0
422,no,38,F,1,High School,Married,Less than $40K,Blue,31,2,6,3,3416,2517,899,0.925,14230,105,0.78,0.737
423,no,36,F,3,High School,Married,Unknown,Blue,30,6,2,2,3399,2173,1226,0.795,1571,34,1,0.639
424,no,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,2,19116,0,19116,0.656,1184,29,0.611,0
425,no,41,F,3,Graduate,Married,Less than $40K,Blue,36,4,3,3,3203,2366,837,0.665,4282,82,0.783,0.739
426,no,37,F,4,High School,Single,$40K - $60K,Blue,36,5,3,1,3093,2517,576,0.855,1371,23,0.917,0.814
427,no,58,F,1,Uneducated,Unknown,$40K - $60K,Blue,39,5,1,1,2406,0,2406,1.016,4450,73,0.698,0
428,no,41,F,0,High School,Married,Less than $40K,Blue,31,4,2,4,2685,1647,1038,0.812,4625,94,0.516,0.613
429,no,41,F,3,Graduate,Married,Less than $40K,Blue,27,6,1,2,2134,1085,1049,0.656,4224,75,1.027,0.508
430,no,45,M,1,Graduate,Married,Less than $40K,Blue,33,4,3,4,2009,1795,214,0.645,3172,55,0.719,0.893
431,no,46,M,2,Graduate,Single,$120K +,Blue,28,1,1,1,7790,1921,5869,0.789,14567,131,0.617,0.247
432,no,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198
433,no,45,M,2,Graduate,Single,$80K - $120K,Blue,39,6,3,3,1613,0,1613,0.635,3549,65,0.444,0
434,no,43,M,3,Graduate,Married,$120K +,Blue,36,3,2,2,22906,1132,21774,0.942,3204,64,0.73,0.049
435,no,46,M,4,Doctorate,Married,$120K +,Blue,36,3,2,5,3104,862,2242,1.057,2781,74,0.682,0.278
436,no,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718,1474,1244,0.71,3542,59,0.639,0.542
437,yes,52,M,2,Unknown,Married,$80K - $120K,Blue,41,6,4,3,7904,0,7904,0.712,2094,32,0.231,0
438,no,29,F,0,Post-Graduate,Single,Less than $40K,Blue,36,5,2,3,5076,1223,3853,0.83,2675,57,0.629,0.241
439,no,46,F,3,Graduate,Single,Less than $40K,Blue,41,5,3,3,3913,0,3913,0.722,5170,93,0.86,0
440,no,36,F,1,High School,Single,Less than $40K,Blue,36,5,3,4,5257,1572,3685,0.732,2822,73,0.659,0.299
441,no,42,F,3,Graduate,Single,$40K - $60K,Blue,33,6,2,3,3376,1661,1715,0.618,4629,75,0.923,0.492
