,final_grade,review_date,cocoa_percent,company_location,bean_type,broad_bean_origin
508,3.5,2009,0.81,U.S.A.,Criollo,Venezuela
509,2.75,2009,0.74,U.S.A.,,"Cost Rica, Ven"
510,3,2008,0.72,U.S.A.,Criollo,Venezuela
511,2.5,2011,0.55,U.S.A.,,"Peru, Madagascar"
512,2.5,2011,0.7,U.S.A.,Criollo (Porcelana),Venezuela
513,2.75,2011,0.62,U.S.A.,,
514,2.5,2011,0.62,U.S.A.,,"Venezuela, Trinidad"
515,3.5,2014,0.8,U.S.A.,,Ecuador
516,3.75,2014,0.8,U.S.A.,,Dominican Republic
517,2.75,2010,0.75,U.S.A.,,Brazil
518,3,2016,0.76,Portugal,,Jamaica
519,2.5,2016,0.76,Portugal,,Venezuela
520,2.75,2016,0.76,Portugal,Trinitario,Belize
521,3.5,2010,0.58,Switzerland,Trinitario,Grenada
522,2,2006,0.62,Switzerland,,
523,3,2006,0.64,Switzerland,Criollo,Madagascar
524,3.5,2006,0.72,Switzerland,Forastero (Arriba),Ecuador
525,4,2006,0.68,Switzerland,Criollo (Wild),Bolivia
526,2.25,2014,0.65,U.S.A.,,Puerto Rico
527,3,2014,0.8,U.S.A.,,Dominican Republic
528,3.25,2014,0.7,U.S.A.,,Dominican Republic
529,2.5,2014,0.85,U.S.A.,,Dominican Republic
530,2.75,2014,0.72,U.K.,Criollo,Peru
531,2.75,2016,0.7,Puerto Rico,,Domincan Republic
532,2.75,2016,0.7,Singapore,,Madagascar
533,3.5,2016,0.75,Singapore,,Ecuador
534,3.5,2014,0.7,Venezuela,,Venezuela
535,3.75,2014,0.7,Venezuela,,Venezuela
536,3.75,2012,0.7,Venezuela,,Venezuela
537,3.5,2012,0.6,Venezuela,,Venezuela
538,3,2015,0.8,Belgium,Trinitario,Vietnam
539,3.5,2014,0.6,Belgium,Forastero,Ghana
540,3.5,2014,0.65,Belgium,Trinitario,Madagascar
541,3.5,2017,0.7,U.S.A.,,Peru
542,3.25,2014,0.68,U.S.A.,,Nicaragua
543,3.5,2013,0.66,U.S.A.,,Peru
544,2.5,2012,0.7,U.S.A.,Criollo,Peru
545,3.5,2012,0.61,U.S.A.,,Peru
546,2,2012,0.81,U.S.A.,,Peru
547,3.5,2011,0.7,U.S.A.,Forastero (Nacional),Peru
548,3.5,2011,0.65,U.S.A.,,Dominican Republic
549,3.5,2014,0.7,U.S.A.,Forastero (Nacional),Peru
550,3.5,2014,0.7,U.S.A.,Forastero (Nacional),Peru
551,3.25,2013,0.72,U.S.A.,,Dominican Republic
552,3.75,2013,0.72,U.S.A.,,Dominican Republic
553,4,2013,0.7,U.S.A.,Trinitario,Peru
554,3.5,2012,0.69,U.S.A.,,Papua New Guinea
555,4,2012,0.74,U.S.A.,Trinitario,Madagascar
556,4,2012,0.69,U.S.A.,Trinitario,Papua New Guinea
557,3,2012,0.69,U.S.A.,Trinitario,Papua New Guinea
558,2.75,2011,0.74,U.S.A.,Forastero,Ghana
559,3.25,2011,0.7,U.S.A.,Trinitario,Jamaica
560,3.5,2011,0.72,U.S.A.,,Dominican Republic
561,3.5,2011,0.7,U.S.A.,Trinitario,Jamaica
562,2.75,2011,0.74,U.S.A.,Trinitario,Madagascar
563,3,2011,0.74,U.S.A.,Trinitario,Madagascar
564,3.25,2011,0.76,U.S.A.,Trinitario,Venezuela
565,4,2011,0.7,U.S.A.,Trinitario,Venezuela
566,2.75,2009,0.8,U.S.A.,Trinitario,Jamaica
567,3,2009,0.7,U.S.A.,Trinitario,Jamaica
568,3.25,2009,0.7,U.S.A.,Trinitario,Jamaica
569,3.5,2009,0.65,U.S.A.,Criollo,Venezuela
570,3,2015,0.6,Denmark,,Nicaragua
571,3.25,2015,0.85,Denmark,,Nicaragua
572,3.25,2012,0.7,Denmark,"Criollo, Trinitario",Honduras
573,3.25,2012,0.7,Denmark,"Criollo, Trinitario",Nicaragua
574,3.75,2012,0.7,Denmark,,Nicaragua
575,3.25,2011,0.7,Denmark,"Criollo, Trinitario",Nicaragua
576,3.5,2011,0.7,Denmark,"Criollo, Trinitario",Nicaragua
577,3.5,2011,0.7,Denmark,"Criollo, Trinitario",Nicaragua
578,3.75,2016,0.74,U.S.A.,Beniano,Bolivia
579,4,2016,0.74,U.S.A.,Amazon mix,Costa Rica
580,3.75,2014,0.7,U.S.A.,Trinitario,Trinidad
581,3.75,2013,0.7,U.S.A.,,Dominican Republic
582,2.5,2012,0.7,U.S.A.,,Peru
583,3,2011,0.7,U.S.A.,,Costa Rica
584,2.5,2014,0.85,U.S.A.,Blend,Hawaii
585,3.25,2015,0.65,Germany,Trinitario,Madagascar
586,4,2015,0.7,Germany,Forastero,Ghana
587,3.5,2015,0.7,Germany,Trinitario,Domincan Republic
588,3.5,2015,0.8,Germany,Trinitario,Domincan Republic
589,3.5,2015,0.75,Germany,Trinitario,Madagascar
590,3.5,2016,0.7,U.S.A.,,Belize
591,3,2015,0.66,U.S.A.,"Trinitario, Forastero",Brazil
592,2.75,2016,0.77,U.S.A.,,Mexico
593,3.25,2016,0.77,U.S.A.,,Nicaragua
594,3.25,2016,0.77,U.S.A.,,Guatemala
595,3,2011,0.72,Vietnam,Trinitario,Vietnam
596,2.5,2006,0.7,U.K.,,
597,3.5,2016,0.7,Japan,,Madagascar
598,3.25,2010,0.82,Grenada,Trinitario,Grenada
599,2.75,2009,0.6,Grenada,Trinitario,Grenada
600,2.5,2008,0.71,Grenada,Trinitario,Grenada
601,3,2009,0.64,Italy,Forastero (Arriba) ASS,Ecuador
602,3,2009,0.64,Italy,Forastero,Ghana
603,3,2009,0.76,Italy,,Venezuela
604,3.25,2009,0.64,Italy,,"Ven, Trinidad, Ecuador"
605,3.75,2015,0.7,U.S.A.,,
606,2.75,2013,0.65,U.S.A.,,Haiti
607,3.25,2013,0.65,U.S.A.,Trinitario,Jamaica
608,3.5,2013,0.65,U.S.A.,,Ecuador
609,3.25,2011,0.61,U.S.A.,,
610,3,2010,0.65,U.S.A.,Trinitario,Trinidad
611,3,2009,0.55,U.S.A.,,Hawaii
612,3,2009,0.91,U.S.A.,,
613,3.5,2009,0.7,U.S.A.,Blend,
614,3,2008,0.65,U.S.A.,,Peru
615,3,2008,0.64,U.S.A.,,
616,3.5,2008,0.65,U.S.A.,,Venezuela
617,3,2006,0.65,U.S.A.,Trinitario,Colombia
618,3.5,2006,0.65,U.S.A.,"Criollo, +",Madagascar
619,3.5,2006,0.65,U.S.A.,Forastero (Arriba),Ecuador
620,3.5,2006,0.61,U.S.A.,Blend,
621,3,2006,0.61,U.S.A.,Blend,
622,2.75,2014,0.8,Canada,,Papua New Guinea
623,2.75,2014,0.74,Canada,,
624,2.75,2014,0.65,Canada,,
625,3,2014,0.7,Canada,,
626,3,2014,0.8,Canada,,
627,2,2014,1,Canada,,
628,2.5,2007,0.77,Germany,Forastero (Arriba),Ecuador
629,2.75,2014,0.55,Ecuador,Trinitario,Ecuador
630,3,2014,0.7,Ecuador,Trinitario,Ecuador
631,3,2011,0.7,Australia,,"South America, Africa"
632,3.25,2016,0.85,U.S.A.,,Brazil
633,3,2015,0.67,U.S.A.,,Brazil
634,3.5,2015,0.77,U.S.A.,,Brazil
635,3.5,2015,0.74,U.S.A.,,Brazil
636,3.25,2016,0.7,U.S.A.,Amazon,Belize
637,3.5,2014,0.67,U.S.A.,"Amazon, ICS",Bolivia
638,3,2014,0.67,U.S.A.,Beniano,Bolivia
639,3.75,2014,0.67,U.S.A.,,Hawaii
640,3.5,2016,0.72,U.S.A.,,Hawaii
641,3.5,2016,0.77,U.S.A.,EET,Ecuador
642,3.75,2016,0.68,U.S.A.,"Amazon, ICS",Bolivia
643,4,2016,0.72,U.S.A.,Beniano,Bolivia
644,2.75,2015,0.57,U.S.A.,Forastero,Uganda
645,3.5,2015,0.74,U.S.A.,Criollo,Venezuela
646,2.75,2015,0.7,U.S.A.,,Tanzania
647,3,2015,0.74,U.S.A.,Trinitario,Madagascar
648,3,2015,0.7,U.S.A.,,Venezuela
649,3.25,2015,0.73,U.S.A.,,Ecuador
650,2.75,2016,0.7,New Zealand,Trinitario,Madagascar
651,2.75,2016,0.72,New Zealand,Trinitario,Venezuela
652,3.25,2016,0.75,New Zealand,Trinitario,Domincan Republic
653,3.5,2016,0.66,New Zealand,Criollo,Peru
654,2,2009,0.8,Ecuador,Forastero (Arriba) ASS,Ecuador
655,2.5,2009,0.8,Ecuador,Forastero (Arriba) ASS,Ecuador
656,3.25,2009,0.58,Ecuador,Forastero (Arriba) ASS,Ecuador
657,3.5,2009,0.58,Ecuador,Forastero (Arriba) ASS,Ecuador
658,2.75,2016,0.7,Israel,,Peru
659,3.5,2015,0.7,Israel,,Ecuador
660,3.5,2015,0.7,Israel,Trinitario,Madagascar
661,3.5,2015,0.7,Israel,Trinitario,Trinidad
662,2.75,2009,0.7,Israel,,Dominican Republic
663,3.5,2009,0.7,Israel,,Peru
664,3.75,2009,0.75,Israel,,Dominican Republic
665,2.5,2014,0.72,South Africa,,Ecuador
666,4,2013,0.7,U.K.,Trinitario,St. Lucia
667,1.75,2013,1,U.K.,Trinitario,St. Lucia
668,3,2013,0.75,U.K.,Trinitario,Trinidad
669,3,2013,0.9,U.K.,Forastero (Nacional),Ecuador
670,3,2013,0.72,U.K.,Trinitario,Madagascar
671,3.5,2013,0.82,U.K.,Forastero (Nacional),Ecuador
672,2.75,2013,1,U.K.,,Peru
673,2.5,2013,1,U.K.,Forastero (Nacional),Ecuador
674,2.75,2013,1,U.K.,,Dominican Republic
675,3.5,2012,0.66,U.K.,"Trinitario, Criollo",Madagascar
676,3,2011,0.8,U.K.,Forastero (Nacional),Ecuador
677,3.25,2011,0.65,U.K.,Trinitario,St. Lucia
678,2.75,2010,0.7,U.K.,,Ecuador
679,3,2010,0.7,U.K.,,Dominican Republic
680,3,2008,0.72,U.K.,,St. Lucia
681,2.5,2008,0.8,U.K.,Forastero,Uganda
682,3,2008,0.72,U.K.,Forastero,Sao Tome
683,3.5,2015,0.7,Canada,Trinitario,Vietnam
684,3,2014,0.7,Canada,"Criollo, Trinitario",Bolivia
685,3,2014,0.7,Canada,Trinitario,Nicaragua
686,3.75,2014,0.7,Canada,Trinitario,Dominican Republic
687,3.5,2014,0.7,Canada,,Dominican Republic
688,3.25,2013,0.7,Canada,"Trinitario, Criollo",Venezuela
689,3.75,2013,0.7,Canada,Forastero,Venezuela
690,3.75,2013,0.72,Switzerland,Trinitario,Venezuela
691,3.75,2011,0.72,Switzerland,Criollo,Venezuela
692,4,2011,0.74,Switzerland,Criollo,Venezuela
693,3.5,2011,0.72,Switzerland,Criollo,Venezuela
694,4,2011,0.7,Switzerland,Trinitario,Venezuela
695,4,2011,0.72,Switzerland,Criollo,Venezuela
696,2.5,2016,0.61,India,,India
697,3.25,2012,0.7,U.S.A.,,Dominican Republic
698,2.75,2012,0.7,U.S.A.,,Dominican Republic
699,3,2014,0.77,U.S.A.,,Honduras
700,2.75,2012,0.72,Scotland,Criollo,Peru
701,2.25,2014,0.72,U.S.A.,,Peru
702,3.25,2014,0.72,U.S.A.,Trinitario,Belize
703,3.5,2015,0.7,U.S.A.,Trinitario,Belize
704,2,2006,0.71,U.S.A.,Trinitario,Ghana
705,2.75,2015,0.63,Czech Republic,Trinitario,Madagascar
706,3.5,2014,0.7,U.S.A.,Trinitario,Belize
707,3.5,2014,0.7,U.S.A.,Trinitario,Madagascar
708,4,2014,0.7,U.S.A.,,Peru
709,3.5,2013,0.7,Domincan Republic,,Dominican Republic
710,3,2013,0.82,Domincan Republic,,Dominican Republic
711,3.25,2013,0.55,Domincan Republic,,Dominican Republic
712,3.25,2013,0.62,Domincan Republic,,Dominican Republic
713,2.5,2012,0.64,Germany,,Peru
714,3.75,2009,0.65,Germany,Trinitario,Vanuatu
715,3,2008,0.7,Ecuador,,Ecuador
716,3.5,2008,0.7,Ecuador,,Ecuador
717,2.75,2008,0.75,Ecuador,,Ecuador
718,2.5,2008,0.85,Ecuador,,Ecuador
719,2.75,2008,0.85,Ecuador,,Ecuador
720,3,2008,0.85,Ecuador,,Ecuador
721,2.5,2008,0.75,Ecuador,,Ecuador
722,3,2008,0.85,Ecuador,,Ecuador
723,2.75,2009,0.7,France,,
724,2.75,2009,0.8,France,,Ecuador
725,3.75,2013,0.7,U.S.A.,,Dominican Republic
726,2,2009,0.72,Mexico,,Mexico
727,3,2014,0.6,U.S.A.,Trinitario,Dominican Republic
728,2.5,2014,0.72,U.S.A.,,Peru
729,2.75,2014,0.72,U.S.A.,,Venezuela
730,3.25,2014,0.72,U.S.A.,Trinitario,Madagascar
731,3.25,2014,0.9,U.S.A.,Trinitario,Belize
732,3.25,2014,0.72,U.S.A.,,Dominican Republic
733,3.25,2014,0.72,U.S.A.,,Dominican Republic
734,3.25,2016,0.7,U.S.A.,,Haiti
735,2.75,2016,0.7,U.S.A.,Forastero (Nacional),Peru
736,3.75,2016,0.7,U.S.A.,,Ecuador
737,3.75,2016,0.7,U.S.A.,Forastero,Brazil
738,2.5,2014,0.725,U.S.A.,Forastero,Uganda
739,3,2014,0.725,U.S.A.,,Dominican Republic
740,2.5,2014,0.725,U.S.A.,,Ecuador
741,3,2014,0.725,U.S.A.,Trinitario,Madagascar
742,3.25,2012,0.74,U.S.A.,,Peru
743,3.75,2011,0.74,U.S.A.,,Ecuador
744,3.25,2010,0.75,U.S.A.,Trinitario,Grenada
745,3,2010,0.71,U.S.A.,,Venezuela
746,3.5,2009,0.64,U.S.A.,Trinitario,Madagascar
747,3,2009,0.68,U.S.A.,,Bolivia
748,2.25,2016,0.7,Japan,"Trinitario, Criollo",Peru
749,3,2016,0.7,Japan,Criollo,Peru
750,3,2016,0.7,Japan,"Trinitario, Criollo",Belize
751,3.25,2013,0.56,France,,Ecuador
752,3.5,2012,0.66,France,,Dominican Republic
753,3.5,2011,0.68,France,Trinitario,Grenada
754,3.25,2009,0.68,France,Forastero,Ghana
755,3.75,2009,0.6,France,,
756,3.5,2008,0.74,France,Blend,"Ven., Indonesia, Ecuad."
757,2.5,2011,0.72,Peru,,Peru
758,3.25,2011,0.6,Ecuador,,Ecuador
759,2.75,2015,0.75,France,Trinitario,Madagascar
760,3,2015,0.75,France,,Ivory Coast
761,3.5,2015,0.75,France,Forastero,Sao Tome
762,3.25,2015,0.75,France,,Brazil
763,3.75,2015,0.75,France,Trinitario,Vietnam
764,2.75,2014,0.7,France,,Cuba
765,2.75,2014,0.68,France,,Trinidad-Tobago
766,2.5,2009,0.75,U.S.A.,,Tanzania
767,3.5,2016,0.8,U.S.A.,Trinitario,Nicaragua
768,3,2012,0.72,U.S.A.,Criollo,"Peru, Ecuador, Venezuela"
769,3.5,2017,0.7,U.S.A.,,Honduras
770,3.25,2016,0.7,U.S.A.,,Liberia
771,3.25,2015,0.7,U.S.A.,,Bolivia
772,3.5,2015,0.7,U.S.A.,Trinitario,Trinidad
773,3,2015,0.7,U.S.A.,,Costa Rica
774,3.25,2015,0.7,U.S.A.,,Domincan Republic
775,3.5,2015,0.7,U.S.A.,,Tanzania
776,3.5,2014,0.7,U.S.A.,Forastero (Nacional),Peru
777,3.5,2014,0.71,Finland,Criollo,Madagascar
778,3,2016,0.7,Finland,Trinitario,Madagascar
779,3.5,2012,0.65,U.S.A.,Criollo,Peru
780,3.5,2012,0.68,U.S.A.,Criollo,Bolivia
781,3.75,2012,0.68,U.S.A.,,Peru
782,2.75,2012,0.75,U.S.A.,,"Venezuela, Dom. Rep."
783,3,2012,0.74,U.S.A.,,Dominican Republic
784,3.5,2012,0.68,U.S.A.,Criollo,Bolivia
785,3,2007,0.85,Switzerland,,
786,2.5,2013,0.65,Puerto Rico,,Puerto Rico
787,3.75,2014,0.7,U.S.A.,,Hawaii
788,3.25,2014,0.65,U.S.A.,,Hawaii
789,3.75,2014,0.75,U.S.A.,,Hawaii
790,3,2013,0.72,U.S.A.,,Hawaii
791,2,2015,0.75,U.S.A.,,Nicaragua
792,1.5,2011,0.7,Peru,,Peru
793,2.25,2010,0.55,Peru,,Peru
794,3.5,2008,0.67,Madagascar,Trinitario,Madagascar
795,3.75,2008,0.7,Madagascar,Trinitario,Madagascar
796,4,2008,0.63,Madagascar,Trinitario,Madagascar
797,3.5,2008,0.75,Madagascar,Trinitario,Madagascar
798,3.5,2017,0.73,U.S.A.,,Solomon Islands
799,2.75,2013,0.7,U.S.A.,,Puerto Rico
800,3.5,2013,0.7,U.S.A.,,Brazil
801,2.75,2013,0.7,U.S.A.,,Hawaii
802,2.75,2013,0.7,U.S.A.,,Mexico
803,3.25,2012,0.7,U.S.A.,,Hawaii
804,3.25,2012,0.7,U.S.A.,Criollo,Hawaii
805,3.5,2012,0.7,U.S.A.,,Hawaii
806,2.5,2011,0.7,U.S.A.,,Dominican Republic
807,2.75,2011,0.7,U.S.A.,,Costa Rica
808,2.75,2010,0.72,U.S.A.,,Mexico
809,3,2008,0.7,Italy,Forastero (Nacional),Ecuador
810,3.25,2008,0.7,Italy,Criollo,Cuba
811,3.75,2008,0.7,Italy,"Blend-Forastero,Criollo",Dominican Republic
812,2,2010,0.7,Italy,,Ecuador
813,3.5,2007,0.73,Madagascar,Trinitario,Madagascar
814,2.75,2009,0.55,U.S.A.,Blend,Hawaii
815,3,2016,0.7,Sweden,,Venezuela
816,2.5,2014,0.74,U.S.A.,,Peru
817,2.75,2014,0.74,U.S.A.,,Venezuela
818,3.75,2012,0.74,U.S.A.,,Dominican Republic
819,3.5,2015,0.72,U.S.A.,,Papua New Guinea
820,3.75,2013,0.72,U.S.A.,,Hawaii
821,3.25,2012,0.72,U.S.A.,,Liberia
822,2.75,2012,0.72,U.S.A.,,Hawaii
823,3,2012,0.72,U.S.A.,,Peru
824,3.25,2012,0.72,U.S.A.,,Hawaii
825,3.5,2016,0.7,Poland,,Peru
826,3.75,2014,0.7,Poland,Criollo,Venezuela
827,3.5,2014,0.85,Poland,,Colombia
828,3.25,2012,0.7,Poland,,Dominican Republic
829,3.5,2012,0.7,Poland,Forastero,Ghana
830,3.25,2012,0.7,Poland,,Ecuador
831,3.25,2016,0.75,U.S.A.,Trinitario,Vietnam
832,3.5,2015,0.7,U.S.A.,"Criollo, Trinitario",Dominican Republic
833,3.5,2015,0.7,U.S.A.,Trinitario,Ecuador
834,2.75,2015,0.7,U.S.A.,Trinitario,Trinidad
835,3.5,2015,0.7,U.S.A.,,Nicaragua
836,3.5,2015,0.68,U.S.A.,Criollo,Peru
837,2.75,2015,0.75,U.S.A.,,Colombia
838,3.5,2015,0.78,U.S.A.,,Honduras
839,3,2016,0.7,Peru,,Peru
840,3,2016,0.7,Peru,,Peru
841,3.25,2016,0.75,Canada,,
842,3.25,2015,0.85,Vietnam,Trinitario,Vietnam
843,3.5,2015,0.68,Vietnam,Trinitario,Vietnam
844,3.75,2015,0.7,Vietnam,Trinitario,Vietnam
845,3.5,2013,0.75,Vietnam,Trinitario,Vietnam
846,3.5,2012,0.72,Vietnam,Trinitario,Vietnam
847,3.5,2012,0.7,Vietnam,Trinitario,Vietnam
848,3,2012,0.8,Vietnam,Trinitario,Vietnam
849,3.5,2012,0.74,Vietnam,Trinitario,Vietnam
850,3,2010,0.65,U.S.A.,,Costa Rica
851,3,2010,0.65,U.S.A.,,Ivory Coast
852,3.25,2010,0.65,U.S.A.,,Nigeria
853,2.25,2013,0.74,U.S.A.,,Dominican Republic
854,2.5,2013,0.89,U.S.A.,,Dominican Republic
855,2.75,2016,0.76,Austria,,Bolivia
856,3,2016,0.82,Austria,,Haiti
857,3.25,2016,0.74,Austria,,Colombia
858,3,2015,0.76,U.S.A.,,Guatemala
859,3.25,2015,0.74,U.S.A.,,Tanzania
860,3.75,2014,0.75,U.S.A.,Blend,"Peru, Belize"
861,3.5,2012,0.73,U.S.A.,Blend,"Peru, Mad., Dom. Rep."
862,2.5,2012,0.72,U.S.A.,Trinitario,
863,2.75,2012,0.73,U.S.A.,Trinitario,Venezuela
864,3,2011,0.7,U.S.A.,Trinitario,Venezuela
865,2.75,2011,0.71,U.S.A.,,Papua New Guinea
866,3.25,2011,0.73,U.S.A.,,Dominican Republic
867,3.75,2011,0.74,U.S.A.,,Dominican Republic
868,2.75,2010,0.81,U.S.A.,Criollo,Venezuela
869,3,2010,0.75,U.S.A.,,Venezuela
870,3.25,2010,0.7,U.S.A.,,Dominican Republic
871,3.5,2013,0.72,Australia,Trinitario,Vanuatu
872,4,2013,0.74,Australia,Trinitario,Papua New Guinea
873,3.75,2013,0.7,Australia,Trinitario,"PNG, Vanuatu, Mad"
874,3.25,2014,0.7,U.S.A.,Trinitario,Belize
875,3.25,2014,0.7,U.S.A.,,Dominican Republic
876,3.25,2014,0.82,U.S.A.,Criollo,Peru
877,3.5,2014,0.63,U.S.A.,Criollo,Peru
878,3,2016,0.72,U.S.A.,,Domincan Republic
879,2.5,2014,0.7,U.S.A.,,Bolivia
880,2.75,2014,0.7,U.S.A.,,Venezuela
881,3,2014,0.7,U.S.A.,,Nicaragua
882,3.5,2014,0.7,U.S.A.,,Dominican Republic
883,2.5,2012,0.8,Madagascar,Trinitario,Madagascar
884,2.5,2012,0.72,Madagascar,Trinitario,Madagascar
885,2.75,2015,0.8,Honduras,,El Salvador
886,3,2015,0.7,Honduras,,El Salvador
887,3.25,2014,0.8,Honduras,,Honduras
888,3.5,2014,0.7,Honduras,,Honduras
889,3.5,2014,0.8,Honduras,,Nicaragua
890,3.5,2014,0.72,Sweden,Trinitario,Madagascar
891,3.5,2015,0.7,Amsterdam,Trinitario,South America
892,3.75,2012,0.66,France,,Mexico
893,3.5,2007,0.67,France,Forastero,Sao Tome
894,2,2006,0.85,France,,
895,3,2006,0.7,France,Forastero,Sao Tome
896,4,2006,0.65,France,Trinitario,Madagascar
897,2,2006,0.99,France,,
898,3.5,2015,0.8,U.S.A.,Trinitario,Belize
899,3.5,2015,0.7,U.S.A.,Trinitario,Trinidad
900,3.75,2015,0.75,U.S.A.,,Dominican Republic
901,3.75,2015,0.75,U.S.A.,,Venezuela
902,3.25,2015,0.75,U.S.A.,,Tanzania
903,3.5,2015,0.7,U.S.A.,,Nicaragua
904,3.25,2013,0.8,U.S.A.,Trinitario,Belize
905,1.5,2012,0.65,U.S.A.,,
906,2,2012,0.75,U.S.A.,Criollo,Bolivia
907,2.5,2012,0.7,U.S.A.,Criollo,Indonesia
908,2.5,2013,0.7,U.S.A.,Forastero (Nacional),Ecuador
909,2.75,2010,0.77,U.S.A.,,Ecuador
910,3.75,2016,0.75,Brazil,,Brazil
911,3.5,2015,0.7,Brazil,Forastero (Parazinho),Brazil
912,3.25,2013,0.73,U.S.A.,Trinitario,Belize
913,2.75,2010,0.67,U.S.A.,Trinitario,Belize
914,3,2015,0.7,U.S.A.,,Domincan Republic
915,2.75,2015,0.7,U.S.A.,,Indonesia
916,3.25,2015,0.7,U.S.A.,,Peru
917,2.75,2011,0.7,Nicaragua,,Nicaragua
918,2.75,2011,0.7,Nicaragua,,Nicaragua
919,3.5,2016,0.72,Canada,,Dominican Republic
920,3.25,2014,0.7,Australia,,Papua New Guinea
921,3.25,2015,0.7,Ecuador,,Ecuador
922,3.5,2015,0.7,U.S.A.,,Nicaragua
923,3.5,2015,0.8,U.S.A.,,Nicaragua
924,2.75,2016,0.68,U.S.A.,,Tanzania
925,3,2016,0.8,U.S.A.,Trinitario,Vietnam
926,2.5,2013,0.58,Costa Rica,,Costa Rica
927,3,2013,0.7,Costa Rica,,Costa Rica
928,3.75,2013,0.7,Lithuania,,"Trinidad, Tobago"
929,3.75,2013,0.78,Lithuania,Forastero (Nacional),Peru
930,3.25,2014,0.7,Lithuania,Criollo,Nicaragua
931,3,2014,0.7,Lithuania,,Venezuela
932,3.5,2013,0.85,U.S.A.,,Hawaii
933,2.25,2014,0.72,U.S.A.,,Peru
934,2.5,2014,0.7,U.S.A.,,Dominican Republic
935,2.5,2014,0.735,U.S.A.,Trinitario,Madagascar
936,3.5,2014,0.7,U.S.A.,Forastero,Ghana
937,2.5,2010,0.7,Belgium,Criollo,Papua New Guinea
938,3.75,2008,0.67,Belgium,Trinitario,Trinidad
939,2,2006,0.73,Belgium,Forastero,West Africa
940,2.75,2006,0.75,Belgium,Forastero,Sao Tome
941,3,2006,0.71,Belgium,Criollo,Venezuela
942,2.25,2015,0.72,U.S.A.,Criollo,Venezuela
943,2.75,2015,0.72,U.S.A.,Trinitario,Dominican Republic
944,2.75,2013,0.75,U.S.A.,,Peru
945,3.5,2013,0.75,U.S.A.,,Ecuador
946,3,2014,0.75,U.S.A.,Forastero,Ghana
947,3,2014,0.75,U.S.A.,Trinitario,Belize
948,3,2012,0.7,U.S.A.,,Venezuela
949,3,2012,0.7,U.S.A.,,Ecuador
950,3,2012,0.7,Nicaragua,,Nicaragua
951,2.75,2012,0.75,Niacragua,,Nicaragua
952,3.25,2012,0.8,Nicaragua,Forastero (Nacional),Ecuador
953,3.75,2015,0.7,U.S.A.,Forastero,Ghana
954,2.75,2015,0.7,U.S.A.,Trinitario,Ecuador
955,3,2015,0.7,U.S.A.,Criollo,Venezuela
956,3.5,2015,0.7,U.S.A.,Trinitario,Madagascar
957,3.75,2015,0.7,U.S.A.,,Dominican Republic
958,2.5,2010,0.7,U.S.A.,Trinitario,Jamaica
959,3.75,2015,0.7,Chile,Criollo,Peru
960,3.75,2015,0.7,Scotland,Forastero,Congo
961,4,2015,0.75,Scotland,Criollo,Peru
962,2.75,2016,1,New Zealand,,Samoa
963,3.5,2016,0.7,New Zealand,,Samoa
964,2.75,2014,0.66,New Zealand,,Papua New Guinea
965,3,2014,0.7,New Zealand,,Papua New Guinea
966,3.25,2014,0.88,New Zealand,,Papua New Guinea
967,3.5,2014,0.74,New Zealand,,Papua New Guinea
968,2.75,2015,0.7,U.S.A.,Trinitario,Trinidad
969,3,2015,0.7,U.S.A.,,Tanzania
970,3.5,2011,0.7,Germany,Criollo,Bolivia
971,3,2010,0.72,U.S.A.,,Dominican Republic
972,3,2010,0.72,U.S.A.,Forastero,Ghana
973,2.75,2009,0.67,U.S.A.,,"Ghana, Domin. Rep"
974,3,2009,0.75,U.S.A.,,"Ghana, Domin. Rep"
975,2,2011,0.76,Canada,,Carribean
976,2.75,2011,0.76,Canada,,Carribean
977,2.75,2011,0.85,Canada,,Carribean
978,3,2011,0.85,Canada,,Carribean
979,2.75,2011,0.8,Ghana,Forastero,Ghana
980,3.75,2016,0.7,Iceland,Trinitario,Tanzania
981,3,2014,0.7,Iceland,,Papua New Guinea
982,3.5,2014,0.66,Iceland,Trinitario,Madagascar
983,2.75,2013,0.74,Canada,Trinitario,Belize
984,2.75,2013,0.72,Canada,,Dominican Republic
985,2.75,2013,0.72,Canada,Trinitario,Nicaragua
986,3,2013,0.72,Canada,,Dominican Republic
987,3,2013,0.72,Canada,Trinitario,Ecuador
988,2.75,2014,0.68,Switzerland,,Papua New Guinea
989,3.25,2014,0.8,Switzerland,Blend,
990,3,2009,0.75,Switzerland,Criollo,Peru
991,3.25,2009,0.68,Switzerland,,Bolivia
992,3,2009,0.6,U.S.A.,Criollo,Hawaii
993,3,2006,0.6,U.S.A.,,Hawaii
994,3,2012,0.65,Peru,,Peru
995,3,2012,0.72,Peru,,Peru
996,3.25,2014,0.7,Ecuador,,Ecuador
997,3.5,2014,0.7,Ecuador,,Ecuador
998,3.75,2014,0.7,Ecuador,,Ecuador
999,4,2014,0.7,Ecuador,,Ecuador
1000,3,2008,0.72,Ecuador,Forastero (Arriba),Ecuador
1001,2,2008,1,Ecuador,Forastero (Arriba),Ecuador
1002,2.75,2016,0.7,Canada,,Guatemala
1003,3,2016,0.72,Canada,Trinitario,Belize
1004,3.25,2015,0.7,Canada,,Bolivia
1005,3.25,2015,0.7,Canada,Trinitario,Trinidad
